Code_secteur_D;Pop_Sum;missing
"156656";"15702.0";0
"156657";"8096.0";0
"156658";"6952.0";0
"156659";"5680.0";0
"165151";"4581.0";0
"165152";"13139.0";0
"165153";"5678.0";0
"165154";"3809.0";0
"165155";"6937.0";0
"165156";"2059.0";0
"165157";"2731.0";0
"165158";"2743.0";0
"165159";"2136.0";0
"165251";"4978.0";0
"165252";"2357.0";0
"165253";"7229.0";0
"165254";"4773.0";0
"165255";"2923.0";0
"165256";"1587.0";0
"165257";"1372.0";0
"165258";"2630.0";0
"165351";"7274.0";0
"165352";"2745.0";0
"165353";"1196.0";0
"165354";"3993.0";0
"165355";"6638.0";0
"165356";"1510.0";0
"165357";"1076.0";0
"165358";"2851.0";0
"165451";"14864.0";0
"165452";"2264.0";0
"165453";"1293.0";0
"165454";"1863.0";0
"165455";"134.0";0
"165456";"12581.0";0
"165457";"2042.0";0
"165458";"3642.0";0
"165459";"1812.0";0
"165460";"4262.0";0
"165461";"3026.0";0
"165462";"2489.0";0
"165463";"942.0";0
"165551";"15651.0";0
"165552";"7820.0";0
"165553";"1554.0";0
"165554";"6442.0";0
"165555";"5663.0";0
"165651";"3797.0";0
"165652";"2828.0";0
"165653";"2015.0";0
"165654";"3383.0";0
"165655";"1753.0";0
"175151";"4531.0";0
"175152";"4084.0";0
"175153";"13690.0";0
"175154";"3859.0";0
"175155";"1756.0";0
"175156";"2148.0";0
"175157";"2640.0";0
"175158";"7849.0";0
"175159";"14200.0";0
"175160";"9055.0";0
"175161";"6420.0";0
"175162";"14973.0";0
"175251";"6618.0";0
"175252";"6844.0";0
"175253";"3598.0";0
"175254";"8099.0";0
"175351";"1626.0";0
"175352";"17172.0";0
"175353";"4281.0";0
"175354";"1370.0";0
"175355";"1539.0";0
"175356";"8444.0";0
"175357";"6913.0";0
"175358";"8167.0";0
"175359";"17715.0";0
"175360";"8442.0";0
"175451";"10105.0";0
"175452";"5009.0";0
"175453";"2625.0";0
"175454";"6709.0";0
"175455";"3884.0";0
"175456";"3557.0";0
"175457";"4802.0";0
"175458";"4428.0";0
"175551";"4890.0";0
"175552";"2393.0";0
"175553";"3237.0";0
"175554";"1926.0";0
